Ford Explorer,32000,1 1,2131231233,12/04/2019
BMW 335i,37000,1 1,1233211234,12/11/2019
Audi R8,189645,Allen Chang,1233214444,01/01/2020
Mercedes GT 63,136500,Allen Chang,1233214441,12/26/2019
Audi R8,189645,Allen Chang,1233214441,12/10/2019
Mercedes GT 63,136500,Allen Chang,1233214441,12/19/2019
Chevrolet Camaro,29000,Allen Chang,1233214441,12/28/2019
Tesla Model 3,39600,Allen Chang,1233214441,12/03/2019
Kia  Stringer,33980,Allen Chang,1233214441,12/04/2019
Toyota Tundra,37700,Allen Chang,1233214441,12/17/2019
Tesla Model 3,39600,Allen Chang,1233214441,12/01/2019
Mercedes GT 63,136500,peiyang chen,2542148888,12/12/2019
Kia  Stringer,33980,peiyang chen,2542148888,12/24/2019
Kia  Stringer,33980,peiyang chen,2542148888,12/17/2019
Kia  Stringer,33980,peiyang chen,2542148888,12/12/2019
